Object Id,Average Velocity,Average Delta Altitude,Max Velocity,Average Delta longitude,Average Delta latitude,Average Delta time,longitude traverse,latitude traverse,Altitude Traverse,Time taken
932,4923.233304,27399.6577,5288.75,157955.33,151988.814,48.96079,74659.81,75048.282,873.7217,22.44035
933,4623.62687,27346.137,5017.079,139087.886,150049.002,44.8807,64366.038,74997.996,1141.2793,22.44035
934,4766.21196,32578.2153,5210.214,145058.062,150490.592,46.92074,80716.361,75495.986,747.269,24.48039
935,4404.422286,22604.364,4732.5,140328.48,137415.392,44.88069,59619.21,61897.306,285.046,20.4003
936,4904.138774,49415.2875,5578.248,159881.494,157527.876,51.00083,100226.877,95613.828,1579.2675,30.60053
937,4745.1902,21226.9315,5015.503,164043.656,157329.318,49.98081,63862.988,61758.614,78.072,19.38028
938,4540.85315,19802.546,4825.192,118134.158,126872.496,38.76056,54290.689,65062.258,187.095,19.38028
939,4477.130652,26427.614,4860.293,125710.002,128367.84,41.82063,71352.171,63305.285,10.006,22.44035
940,4996.482692,34212.457,5456.557,158906.3,146433.734,47.94077,87587.225,83183.612,793.071,25.50042
941,4340.7207,20382.344,4641.836,143016.324,141928.794,44.8807,55373.902,58714.547,375.883,19.38028
942,4650.98784,31732.308,5097.698,133966.4,131979.816,43.86067,78686.015,73314.703,482.981,24.48039
943,5036.051536,40267.618,5558.466,171570.224,165019.794,52.02085,92847.892,91649.472,573.021,27.54046
944,4459.890444,37374.048,5004.021,168528.74,171391.408,54.0609,75681.46,79747.279,484.473,26.52044
945,4553.632579,18059.19,4814.874,136158.032,133377.34,44.88069,60494.076,53599.06,486.264,18.36025
946,4533.651455,24459.024,4886.083,121074.408,123780.146,39.78057,60549.974,70234.388,434.668,21.42032
947,4926.080714,22268.144,5226.853,129798.932,138181.348,41.82062,69228.171,67942.459,664.364,20.4003
948,4912.042794,60052.2321,5710.144,174854.654,174510.202,54.0609,105656.952,106551.026,1323.9611,33.6606
949,4706.787208,30119.6841,5105.5,181190.736,179320.638,57.12097,75575.263,72780.029,86.139,23.46037
950,4545.659952,21978.133,4870.329,141164.57,132908.484,43.86067,65529.955,60140.347,661.882,20.4003
951,4839.649724,43463.317,5425.44,152902.604,154557.228,48.96079,87442.867,94404.019,692.659,28.56049
952,5018.806788,56486.061,5748.301,185994.916,207767.2,61.20107,98493.578,113357.33,652.093,32.64058
953,4897.530333,16510.438,5121.18,155028.83,173677.668,49.98081,56557.295,60381.149,760.91,17.34023
954,4786.023409,24863.093,5126.989,123656.806,132381.748,38.76055,67079.913,71950.134,736.711,21.42032
955,4948.535667,56539.005,5687.727,179792.6,167325.51,54.0609,112748.26,95370.79,808.427,32.64058
956,5090.184394,56772.691,5817.225,220983.616,203117.64,65.28116,108193.708,107746.71,1028.752,32.64058
957,4852.740375,30026.9032,5265.103,185776.518,183577.328,56.10095,77619.559,75819.684,1335.4392,23.46037
958,4785.098259,38292.4962,5290.331,156224.474,165385.604,49.98081,78558.487,89577.357,359.378,26.52044
959,4964.843,17921.9223,5223.689,140749.756,152649.756,44.88069,62190.958,63098.833,1403.0333,18.36025
960,4744.420621,44287.2408,5356.135,153539.962,149532.084,46.92074,91381.066,86394.947,1584.0375,28.56049
961,4969.668429,23400.1241,5275.507,160197.84,156047.098,48.96079,68818.845,69653.969,1045.4446,20.4003
962,4796.754778,37941.8556,5310.551,153458.39,153993.108,46.92074,84608.175,84346.929,849.716,26.52044
963,4552.327941,60247.7661,5405.04,179458.14,182725.862,60.18104,94892.075,98393.101,1271.6141,33.6606
964,4712.975188,53654.5601,5437.046,195560.932,189574.818,65.28116,100625.141,91158.619,502.072,31.62056
965,4484.224065,49455.828,5197.605,189981.772,177921.562,62.22109,89381.291,86764.191,595.924,30.60053
966,4438.416045,24773.701,4789.568,151971.568,152304.996,52.02085,62560.479,65531.628,39.937,21.42032
967,4753.17525,39812.6822,5312.033,146121.052,154629.664,48.96078,83599.151,89089.092,964.3482,27.54046
968,4538.929593,37865.0602,5067.101,163268.48,168064.01,54.0609,79654.045,79000.65,245.798,26.52044
969,4864.476606,56237.568,5612.324,179956.816,183311.572,59.16102,100307.278,104270.181,520.516,32.64058
970,4619.985379,43353.7391,5246.683,186740.056,190258.882,61.20107,86459.958,85984.351,1584.5621,28.56049
971,4842.6275,35647.3017,5332.461,170637.606,166722.292,54.06091,84149.138,80783.431,1716.8036,25.50042
972,4856.243212,57698.7786,5620.574,185700.102,183421.346,58.141,101578.486,102615.028,1340.412,32.64058
973,4658.2195,17201.282,4887.559,153087.7,161827.312,49.98081,51468.97,59232.996,509.752,17.34023
974,4287.417611,16296.7888,4546.301,103450.706,108750.53,34.68046,52016.793,49544.255,963.0988,17.34023
975,4900.104182,56924.4318,5642.663,159885.53,147916.752,49.98081,107830.305,98362.396,499.154,32.64058
976,4158.748333,16280.362,4410.997,156443.672,148077.668,49.98081,48623.356,49702.689,362.346,17.34023
977,4818.919,20143.2912,5121.106,109406.83,116481.62,36.72051,60790.52,66773.55,1819.5992,19.38028
978,4880.267238,23684.0092,5183.912,129217.69,134085.466,39.78058,68471.995,67332.198,672.904,20.4003
979,4828.232321,40320.346,5369.506,156573.336,155158.036,47.94076,88063.503,87836.603,474.057,27.54046
980,4987.99025,53049.08,5666.363,183400.136,197452.936,59.16102,95308.708,109570.473,119.654,31.62056
981,4537.876857,39814.2512,5129.873,176005.236,192597.63,59.16102,80701.128,83071.605,1397.6622,27.54046
982,4698.426167,17125.6272,4920.739,139626.47,135995.408,44.88069,58942.5,52882.809,269.075,17.34023
983,4758.67,56201.3932,5529.781,154394.712,156563.326,49.98081,95422.026,103680.068,1097.6752,32.64058
984,4806.677406,53541.5852,5511.609,185622.004,209368.986,64.26114,90224.072,105745.193,164.97,31.62056
985,4260.219211,18057.201,4536.493,144985.854,157399.638,49.98081,54779.007,51582.839,392.767,18.36025
986,4487.666429,22318.7248,4837.078,113727.274,116487.686,38.76055,58924.737,64956.238,1615.2418,20.4003
987,4753.09025,54028.0975,5492.742,152290.462,165439.59,52.02086,93365.511,100467.48,1734.6657,31.62056
988,4788.4648,33236.8367,5218.631,176069.882,174614.866,56.10095,82741.536,74137.298,154.826,24.48039
989,4953.513094,52594.902,5635.214,179308.228,181023.832,56.10095,96539.859,106902.801,64.828,31.62056
990,4721.16419,21901.8406,5054.836,163169.946,171304.306,52.02086,66634.698,64379.573,1645.7796,20.4003
991,4691.741552,44481.8226,5281.72,153482.308,153129.354,48.96079,86806.019,88758.947,52.943,28.56049
992,4729.842,34141.583,5208.386,158572.266,176839.292,54.06091,71802.633,88053.821,618.525,25.50042
993,4454.85365,20146.8352,4763.987,128644.074,148475.336,44.8807,56872.802,60455.563,1072.0952,19.38028
994,4507.903214,40957.1913,5099.498,141715.306,138010.368,46.92074,84835.178,77538.739,1204.2541,27.54046
995,5022.995034,43891.6471,5581.248,181979.118,170267.73,56.10095,97123.504,92715.825,276.108,28.56049
996,4971.845381,22087.3557,5288.127,165401.704,162896.626,48.96079,68316.267,70201.138,1576.7847,20.4003
997,4835.113148,38468.8547,5333.441,149449,159405.902,46.92074,81097.215,89195.096,255.231,26.52044
998,5044.822897,42979.148,5616.134,171941.092,188934.628,55.08093,90860.346,99751.569,1212.724,28.56049
999,4264.914667,17035.839,4512.973,139524.1,152066.15,45.90072,48637.68,52321.47,441.179,17.34023
1000,4241.290217,26816.628,4645.107,112356.18,115658.118,39.78058,63677.92,63328.119,40.312,22.44035
1001,4714.871897,42824.148,5310.956,146059.736,157155.144,51.00084,82430.233,93780.177,495.772,28.56049
1002,4675.09797,56389.579,5448.758,173589.936,197283.942,61.20107,91111.708,103533.911,455.327,32.64058
1003,4703.8646,31823.384,5142.785,173404.824,174919.984,57.12097,82288.817,71349.082,228.598,24.48039
1004,4667.690192,34435.93,5148.619,158887.38,152867.664,49.98081,76645.485,81583.007,338.038,25.50042
1005,4832.232857,40113.365,5372.187,172679.808,160751.716,53.04088,96077.329,79176.703,312.127,27.54046
1006,4686.665414,43125.244,5301.531,183205.86,167480.832,56.10095,87052.98,88287.341,1276.932,28.56049
1007,4686.809462,35148.622,5171.553,160966.342,173012.662,54.06091,73920.126,84744.831,722.682,25.50042
1008,4705.200857,40389.089,5282.984,162926.498,166295.05,53.04088,89056.814,81548.195,1651.659,27.54046
1009,4686.412652,28056.969,5063.174,164589.45,147604.704,49.98081,75518.845,66023.662,481.054,22.44035
1010,4931.493129,49522.633,5585.38,167614.872,170674.428,53.04088,92111.721,104665.199,683.168,30.60053
1011,4618.481889,16387.6241,4866.43,148066.926,158638.288,47.94076,55962.888,53978.299,1282.2271,17.34023
1012,4439.958393,41129.5579,5051.791,137815.762,131767.626,44.88069,81824.916,77800.293,1780.3118,27.54046
1013,4878.38255,21448.8258,5147.314,147669.048,141357.252,46.92074,65839.884,63549.011,358.52,19.38028
1014,4796.117636,56176.93141,5574.555,165293.008,165378.282,52.02086,99407.899,101741.071,1771.13941,32.64058
1015,4886.742606,57697.15311,5642.322,192146.212,213733.104,65.28116,92769.241,112059.052,1236.9167,32.64058
1016,4852.953687,53609.5937,5549.529,196652.64,206799.922,64.26114,103879.685,94740.386,177.278,31.62056
1017,4521.403143,21927.3967,4859.903,165258.342,158419.266,52.02086,61395.006,63634.468,1224.4487,20.4003
1018,4268.206,21018.2166,4597.228,119124.272,117892.728,39.78058,57712.226,54289.434,1381.4649,19.38028
1019,4975.714207,44151.8239,5542.099,146749.594,152761.454,47.94077,89093.077,98521.747,566.596,28.56049
1020,4227.417944,16307.2793,4496.651,138899.358,148783.804,45.90072,49799.154,50262.342,1255.3233,17.34023
1021,4737.971172,44163.8013,5335.263,139329.91,138352.47,45.90072,89487.32,88085.75,692.226,28.56049
1022,4496.888053,18413.1061,4781.17,142877.104,147318.414,46.92074,53399.182,59214.587,1388.9621,18.36025
1023,4719.899,35500.0626,5211.451,125427.972,146713.662,43.86067,72051.786,87496.676,1216.6745,25.50042
1024,5059.01625,53604.5865,5737.46,173197.09,195069.292,57.12098,101122.02,107582.116,597.756,31.62056
